name,type,value,date,color
Alexander G Beliavsky,SLO,2638,2001-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2638,2001-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2659,2001-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2668,2001-10-27,#0B4EA2
Alexander G Beliavsky,SLO,2649,2002-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2661,2002-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2652,2002-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2650,2002-10-27,#0B4EA2
Alexander G Beliavsky,SLO,2649,2003-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2649,2003-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2668,2003-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2667,2003-10-27,#0B4EA2
Alexander G Beliavsky,SLO,2667,2004-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2667,2004-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2679,2004-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2660,2004-10-27,#0B4EA2
Alexander G Beliavsky,SLO,2635,2005-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2630,2005-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2631,2005-10-27,#0B4EA2
Alexander G Beliavsky,SLO,2626,2006-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2622,2006-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2625,2006-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2639,2006-10-27,#0B4EA2
Alexander G Beliavsky,SLO,2639,2007-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2648,2007-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2653,2007-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2646,2007-10-27,#0B4EA2
Alexander G Beliavsky,SLO,2638,2008-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2641,2008-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2646,2009-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2640,2009-04-27,#0B4EA2
Alexander G Beliavsky,SLO,2662,2009-07-27,#0B4EA2
Alexander G Beliavsky,SLO,2656,2009-09-27,#0B4EA2
Alexander G Beliavsky,SLO,2648,2009-11-27,#0B4EA2
Alexander G Beliavsky,SLO,2657,2010-01-27,#0B4EA2
Alexander G Beliavsky,SLO,2657,2010-03-27,#0B4EA2
Alexander G Beliavsky,SLO,2645,2010-05-27,#0B4EA2
Alexander G Beliavsky,SLO,2651,2013-06-27,#0B4EA2
Alexander G Beliavsky,SLO,2651,2013-12-27,#0B4EA2
Alexander Galkin,RUS,2607,2003-07-27,#D52B1E
Alexander Galkin,RUS,2607,2003-10-27,#D52B1E
Alexander Galkin,RUS,2607,2004-01-27,#D52B1E
Alexander Galkin,RUS,2618,2006-04-27,#D52B1E
Alexander Goldin,ISR,2599,2001-04-27,#0038B8
Alexander Goldin,USA,2612,2001-10-27,#3c3b6e
Alexander Goldin,USA,2630,2002-01-27,#3c3b6e
Alexander Goldin,USA,2618,2002-04-27,#3c3b6e
Alexander Goldin,USA,2609,2002-07-27,#3c3b6e
Alexander Goldin,USA,2630,2002-10-27,#3c3b6e
Alexander Goldin,USA,2621,2003-01-27,#3c3b6e
Alexander Goldin,USA,2611,2003-04-27,#3c3b6e
Alexander Goldin,USA,2608,2003-07-27,#3c3b6e
Alexander Goldin,USA,2629,2003-10-27,#3c3b6e
Alexander Goldin,USA,2616,2004-01-27,#3c3b6e
Alexander Goldin,USA,2611,2004-04-27,#3c3b6e
Alexander Goldin,USA,2624,2004-07-27,#3c3b6e
Alexander Goldin,USA,2620,2004-10-27,#3c3b6e
Alexander Goldin,USA,2628,2005-01-27,#3c3b6e
Alexander Goldin,USA,2615,2005-04-27,#3c3b6e
Alexander Goldin,USA,2615,2005-07-27,#3c3b6e
Alexander Graf,GER,2649,2001-04-27,#FFFFFFF
Alexander Graf,GER,2610,2001-07-27,#FFFFFFF
Alexander Graf,GER,2610,2001-10-27,#FFFFFFF
Alexander Graf,GER,2605,2002-01-27,#FFFFFFF
Alexander Graf,GER,2623,2002-04-27,#FFFFFFF
Alexander Graf,GER,2624,2002-07-27,#FFFFFFF
Alexander Graf,GER,2635,2002-10-27,#FFFFFFF
Alexander Graf,GER,2630,2003-01-27,#FFFFFFF
Alexander Graf,GER,2630,2003-04-27,#FFFFFFF
Alexander Graf,GER,2643,2003-07-27,#FFFFFFF
Alexander Graf,GER,2646,2003-10-27,#FFFFFFF
